,rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
13649,4.0,Four Stars,Love this case but the back snapped off within a few weeks.,[],B00O5IVPYI,B00O5IVPYI,AEWI4HFKKEA7XPGNGQL6JGRM7XEQ,1514609493369,0,True
17257,4.0,protective for 3-sides,nice quality,[],B01FG1QF88,B01FG1QF88,AGI2MQWJXSYKL3VA62BP7PZPE6ZQ,1492055968000,0,True
21538,5.0,Carolyn O,I love my new phone cover it is awesome love the color.,[],B01FG1QDQM,B01FG1QDQM,AEPBYORF6TKTQHTECACNQG2NI4RQ,1490737287000,0,True
43165,5.0,Good one,Good,[],B01ARJB30E,B01ARJB30E,AGAPM353ZA42QIKF5VNHZVFVNVYA,1536377790302,0,True
63200,5.0,Next best thing to no cover at all,"I didn't way to get a cover for my turbo ballistic, because I love the way the phone feels by itself and the ballistic back looks so great, but after a drop in the parking lot, I had to get a replacement phone (frame got chipped and something inside must have gotten messed up because it no longer held a charge for longer than a few hours). I broke down and got this cover and I have to say it's the next best thing to going cover free. You can see the ballistic fabric a bit because it's clear in parts, and it's got textured sides for good grip.",[],B00QPAQ09E,B00QPAQ09E,AGJS5AY7KTA7Y3VGRCAUTWIWKEYQ,1437868927000,0,True
70457,5.0,Good stuff,"Being a person of few words, I am simply going to write the review and copy it down 4 times. I liked all of these products and am very happy with all of them. What else can I say. The radio is the best though, but all the rest are good also.",[],B01FG1QDQM,B01FG1QDQM,AHBCLMMPZE2BBREM2KYUTAYO5UJQ,1489426201000,0,True
100258,5.0,Great case,Great case works perfect for my wife's phone she is always breaking her screen..not anymore good protection very happy with service and purchase !,[],B01FG1QF88,B01FG1QF88,AHFGJURXI4XCG4LSJMAJUQ74LUNA,1479905732000,0,True
107056,4.0,"Good fit, but not a tremendous amount of protection","It's a good fit on the ballistic nylon Motorola Droid Phone. That said, while it has a slim profile and fits easily into a pocket, it isn't as protected as the cases I usually buy.",[],B00QPAQ09E,B00QPAQ09E,AH7JQQOREY3JOP42SNFBF4NNYZDQ,1465850155000,0,True
147273,2.0,Two Stars,The screen protector has lots of air bubbles.,[],B01ARJB30E,B01ARJB30E,AHQOKIQ77O2SNJIE32CJGNCLY4OQ,1479235568000,0,True
158008,5.0,Excellent instructions. Well made,Factory packaging. Excellent instructions. Well made. Works perfectly!!,[],B01FG1QC8G,B01FG1QC8G,AEKH4DLEMKEXXMPTDF64MSCL2ACA,1508114779505,0,True
160994,4.0,Thumbs up,"So far, I'm loving it. The only thing that may be a problem is protecting the camera.",[],B00KP46VA4,B00KP46VA4,AGW3UH2OKT4E4LYIOTAUWVBGXNLA,1426254112000,0,True
164927,5.0,"Great case, super durable!!","Great case, super durable, keeps the phone nice and safe!",[],B01FG1QDQM,B01FG1QDQM,AFLGRTD46PCZE7ORU6PGN74OSR4A,1472018707000,0,True
208264,5.0,love it,I had one so brought this one for my daughter she loved it,[],B00NJ6OD5A,B00NJ6OD5A,AE3V5KU3NR6AVDZ4RHMWZYDSJNGA,1431560342000,0,True
215859,5.0,Great Quality,I bought the case for $3.99. I originally purchased a otter box but it seemed too flimsy for the price so I went cheaper.. So far I have dropped my phone 3 times. Twice from a height of about 3 feet onto tile floor and once from a height of 10 feet onto carpet and phone is still in perfect condition.,[],B019LF8MIQ,B019LF8MIQ,AGI7PWBVLQ2FBU4RRD7AB4NOZ5GA,1477124593000,1,True
224698,5.0,Five Stars,Awesome,[],B019LF8MIQ,B019LF8MIQ,AHMRI4WODVMU6IUP6Y5QIHNDW7EQ,1485718095000,0,True
237556,4.0,pretty good.,Fits the turbo ballistic perfectly. Is made of a durable rubber. I doubt it would protect the phone from damage if dropped on a hard surface as it won't absorb much shock but it does look pretty good and offers some protection.,[],B00QPAQ09E,B00QPAQ09E,AEHLWAO3GZZQWCNJJPVNTLXBI3KA,1434454606000,0,True
249117,5.0,Good value and fits nicely,Nice case and a very good value. Fits my phone perfectly. Very good protection. Highly recommend.,[],B01FG1QC8G,B01FG1QC8G,AGB4NUX3G22JRGVVZGPHRMWUYDKA,1491181752000,0,True
253603,5.0,Works well and inexpensive.,Fits good and gives good protection to phone. No complaints.,[],B01FG1QC8G,B01FG1QC8G,AEQUATNSJA74XVSKTULQLFFPI2IQ,1503190210229,0,True
255267,5.0,I'm glad that I chose this over something with a smooth ...,"Got one of these a while back for my phone and it fits perfectly. The buttons haven't given me any issues and the kickstand is handy when I'm at a table. I'm glad that I chose this over something with a smooth surface, since I drop my phone plenty enough without it (my own doing, my hand misses my pocket a lot). I don't know how well my phone could take cringe-worthy drops on its own, but it's handled well so far with the case.",[],B01FG1QF88,B01FG1QF88,AFJLRA6UK4P3QNU3BSVVQR3QFR6A,1497680964495,0,True
271790,4.0,Sturdy and protective,"When this arrived I was really happy with it, however, I did not pay attention to it's name. G4 Plus. I needed a case for G4 Play, so it was just a wee too big for my phone. But, looking at it and holding it, it is a sturdy case and I would feel safe with this if I dropped my phone. It is bulkier, but appears to be good protection. Too bad I missed the Plus and had to return it. Return was no issue at all.",[],B01FG1QF88,B01FG1QF88,AHSPYUHTGMT2IXAUSQIWD2YGGYEQ,1487600541000,0,True
275003,2.0,Two Stars,wasn't what i thought it would be. and every time I tried to put it on I got bubbles,[],B017KMR1G6,B017KMR1G6,AHL57FFVUAUMDEK7TEI6QJFBQS4Q,1448885667000,1,True
295421,4.0,Good.,Very satisfied.,[],B01FG1QC8G,B01FG1QC8G,AGOO3ZLPXBEIGRWIYZ2SQHFAPEOA,1488459743000,0,True
309535,5.0,S5 Active case,This is a perfect complement to the S5 Active,[],B00KP46VA4,B00KP46VA4,AHKNVNSBGEGNIUQZUPT3VVWY7M5A,1419186075000,0,True
329024,5.0,"Good value, Fits well, saved my phone",Easy to install. Fits well in my hand and has hit the ground a couple of times without damage to the phone. Had it for a couple of years and it looks good to this day.,[],B01FG1QDQM,B01FG1QDQM,AEIBF3YAGGZQG32KKGQTSBREMTDA,1579483217309,0,True
335686,5.0,Great products for an even greater price,Great products for an even greater price! I would recommend these to anyone looking to spending less for quality products. Great job guys.,[],B01FG1QF88,B01FG1QF88,AENOPVNY4LGGS7DWTVW7EOVLK2NQ,1469930859000,0,True
349784,5.0,Nice and Rugged,Nice and rugged.,[],B01FG1QF88,B01FG1QF88,AEPIXUTULYSAV3EL6NWVWWYDPXUQ,1493864005000,0,True
358662,5.0,Durable phone case with prop!,"These cases are my personal favorite. Have owned a couple in different colors. Love the prop thing on the back so you can set your phone down while watching video content. (only works horizontally) Prop also helps while holding the phone for an extended amount of time. Protected the phone nicely and case never got loose, despite taking it off now and then to clean the case and phone.",[],B01FG1QDQM,B01FG1QDQM,AFKER7UPTGGNQGL3Y67OJQYFR7TA,1505233911561,1,True
382645,3.0,Three Stars,"It good, but it messes up with my screen protector all around the sides.",[],B016ZZCCZE,B016ZZCCZE,AGI6HBHEFI3XRUE6W5V3OAQI6PAA,1462383221000,0,True
437574,5.0,Five Stars,good,[],B01FG1QDQM,B01FG1QDQM,AFMWGERWAVQXU544AKGSYH4PTYZA,1489247247000,0,True
440621,5.0,Great case.,Great case for the Moto G4.,[],B01FG1QF88,B01FG1QF88,AHQ3LKBPKAUGTKKJ3UIMLHIO56FQ,1486572537000,0,True
461547,4.0,Decent case for Droid Turbo.,"Fits really well, has a nice texture on the edges/sides to hold the phone. The price is right, too. Downsides: the frosted part is more slippery than the phone itself. The clear part on the back isn't gummy at all, but it seems to provide better grip than the frosted section. Having it available for both the Ballistic Nylon version (which I bought) and the regular metalized Kevlar version is a bonus.",[],B00QPAQ09E,B00QPAQ09E,AHUG47XGDRMNC2JUIIPN6W6CYE2A,1431961227000,0,True
462733,3.0,You get what you pay for. Having used an ...,"You get what you pay for. Having used an Otter Box, I may have just chosen the wrong replacement. I wanted something lighter weight, which this is. However, it's clear that it won't provide any real protection when a phone is dropped. The item is as described and arrived quickly. I just made the wrong choice. Going back to an Otter Box.",[],B00QPAQ09E,B00QPAQ09E,AGZGAP2BG3I35K7HWXKHC5QKDD4Q,1484758618000,0,True
474073,5.0,Fit perfectly!,"Great case, looks nice and fit exactly right!",[],B00QPAQ09E,B00QPAQ09E,AGAIYWABYGWDKL2S4B54GUDZ7PGA,1486664409000,0,True
474889,1.0,Thanks but No Thanks,Poor quality thin plastic. Not worth the money they want for it. Besides it doesn't fit my Droid Maxx anyway.,[],B00QPAQ09E,B00QPAQ09E,AEZJPXHZB74SVTTRF2Q5HUR3PAYA,1484565576000,0,True
476369,1.0,One Star,"Did not fit on Moto G4, the cover was bigger than the phone",[],B01FG1QDQM,B01FG1QDQM,AHGB7BFG5R5WKE52S34PITCV4DEQ,1523498354051,0,True
476402,5.0,Great product,"I don't usually bother to write reviews, but this case is worth one. I bought an otterbox commuter case for my droid, thinking it would be nice and slim. However, it still made the phone very bulky and the hard surface made it slide when putting it on a counter and just awkward to hold. I decided to take a chance on this case and I'm so glad I did. It has a nice feel, is hardly any additional thickness compared to the bare phone and I love that there is no cover over the charging port to deal with. Plus, the clear cover shows my sapphire blue phone which is an added bonus.",[],B00QPAQ09E,B00QPAQ09E,AFSJ4SHUUB3BTM6WAKWWNKCPWALA,1440069065000,0,True
478643,4.0,Four Stars,Bought wrong size,[],B01FG1QC8G,B01FG1QC8G,AGV7H6Y2BJ6PWPGDZWLYUTU6GDQA,1493775819000,0,True
498634,5.0,A great deal.,"I'm very happy with this case., Would have liked it to be all rubber, but the grips on the side are enough. It works well as I am not the nicest to my phones. The screen cover and the grip case will keep me from destroying my phone.",[],B01FG1QF88,B01FG1QF88,AFNRITLHGQQ6ODJP7GSGBXW3XUXA,1482463836000,0,True
511480,4.0,Four Stars,Protects the phone well.,[],B01FG1QC8G,B01FG1QC8G,AFWAVMQ7L7V73Y72EPRNT77GB5KQ,1506523688062,0,True
516561,4.0,Great protection.,As described. No complaints. Would buy again in a heartbeat. Great protection .,[],B01FG1QDQM,B01FG1QDQM,AGA3A4FYQ34YBUXZ2BPTACSHA7JQ,1493704102000,0,True
557118,5.0,"Nice, inexpensive case. Keeps thin profile of the phone.","This is a nice, cheap case. I ordered a similar version off of a discount website and have always liked the case. Decided to get a higher quality version and this one seems better built, tighter fit. It's not going to give you as much protection as an Otter case, but you don't lose the thin, sexy quality of the phone, either.",[],B019LF8MIQ,B019LF8MIQ,AGMCP6GXDXTLVFRAQFYRNRLPKBFQ,1522171715861,0,True
613368,4.0,NICE ATTRACTIVE CASE BUT DECIDED TO GO WITH ONE WITH ...,NICE ATTRACTIVE CASE BUT DECIDED TO GO WITH ONE WITH BELT CLIP SO ALL I CAN SAY IT LOOKS LIKE IT IS WELL MADE IS VERY ATTRACTIVE.,[],B01FG1QDQM,B01FG1QDQM,AE4WKYC7WVC4OCNBFOP3HBNPZ4CA,1513461157203,0,True
617655,5.0,Fits well.,Fits well on G4 and make it really easy to grip the phone for larger hands. Havent dropped the phone so not sure how well it will fair in protecting the phone.,[],B01FG1QC8G,B01FG1QC8G,AGB7F2SLSZUE5FWOQWQKNQNRP2RA,1513276702520,1,True
631240,5.0,Five Stars,The case is rugged and protects the phone well.,[],B019LF8MIQ,B019LF8MIQ,AEILBCLC6E7FJE5TQZZ2AD2M46OQ,1504752384402,0,True
639077,1.0,One Star,Charging slot too thick to allow connection of charger,[],B01FG1QDQM,B01FG1QDQM,AFALMB7BSMQ67QGLPOSDTYAS7FGQ,1492986472000,0,True
648235,4.0,"Nice case, fits snugly and the button covers are ...","Nice case, fits snugly and the button covers are a nice touch. No problem with the USB/charger port access reported by others. Biggest gripe: No belt clip or holster is available for it. Minus 1 star as a result.",[],B01FG1QC8G,B01FG1QC8G,AEIGZNG4Z4ZSLIJ5KOB2GCYP6HLA,1473313917000,0,True
652720,5.0,"Good case, it feels a little odd in your ...","Good case, it feels a little odd in your hand. Seems rugged though and it should be able to handle drops well.",[],B01M04VKFY,B01M04VKFY,AE3ZH7D3MWNXXDI6EARURMTUMHXA,1485274137000,0,False
685323,4.0,Four Stars,Thanks,[],B017KMR1G6,B017KMR1G6,AFUMS4UOTQILOVBXKRY3WP2YCW6A,1505100606867,0,True
